"clientId","priorityFlag","processingFee","transactionDate","transactionType"
"GS","Y","500$","2013-11-23","BUY"
"AS","N","100$","2013-11-20","SELL"
"AP","Y","500$","2013-11-19","DEPOSIT"
"HJ","N","100$","2013-11-30","WITHDRAW"
"GS","Y","500$","2013-11-26","WITHDRAW"
"AP","Y","500$","2013-11-25","SELL"
"AS","N","50$","2013-11-06","BUY"
"GS","Y","500$","2013-11-11","DEPOSIT"
"AP","Y","500$","2013-11-12","BUY"
"AS","N","100$","2013-11-13","SELL"
"GS","Y","500$","2013-11-01","WITHDRAW"
"AS","N","50$","2013-11-02","DEPOSIT"
"AP","Y","500$","2013-11-03","BUY"
"HJ","N","100$","2013-11-04","SELL"
"GS","Y","500$","2013-11-05","WITHDRAW"
"AP","Y","500$","2013-11-06","DEPOSIT"
"AS","N","100$","2013-11-07","SELL"
"GS","Y","500$","2013-11-08","BUY"
"AP","Y","500$","2013-11-09","BUY"
